#{"t_start": 1713284787.1617033, "env_id": "None"}
r,l,t
798.529759,37,36396.34198
3581.463912,138,36431.422164
179.851319,14,36435.024179
1347.42566,64,36449.05797
1101.907815,46,36459.441579
2263.6456,95,36480.639462
1034.248574,43,36490.586056
245.317294,19,36495.152308
1104.76262,45,36514.703328
97.242514,25,36519.90196
1950.252545,76,36536.402647
5242.694157,224,36586.584346
1461.826427,58,36599.802102
3391.027103,117,36649.130275
1466.675502,59,36662.448834
1262.926735,54,36674.597972
4758.164584,190,36717.028351
6942.27593,257,36775.326799
1149.45097,46,36809.092507
473.02838,36,36816.926106
2345.782558,85,36836.058953
137.6253,16,36839.325063
6097.894704,223,36889.319899
1991.182702,79,36907.185621
428.117312,25,36917.820808
295.435176,22,36922.736889
898.436898,41,36931.834929
2306.6967,87,36950.986818
927.45772,38,36959.502419
1590.514573,79,36977.434385
1692.987311,67,36997.55057
2033.714272,88,37018.065944
2407.227734,112,37042.999932
1081.557958,42,37052.616953
971.181356,42,37062.261732
1202.827285,46,37072.713078
164.325785,14,37076.314099
126.307644,13,37088.631029
1525.353144,61,37102.428835
2669.472629,107,37127.027576
505.027638,46,37136.793257
1635.596249,63,37151.095882
732.855929,38,37159.930268
458.940448,24,37165.244366
1082.884473,48,37185.177684
292.185593,22,37189.611069
2773.83729,111,37214.59111
1290.637514,57,37227.743696
133.61537,11,37230.207725
1177.156285,56,37266.156664
2760.106516,97,37287.773909
157.750829,17,37291.42328
1088.277332,54,37303.804394
818.11443,40,37312.719692
418.80326,26,37318.771483
191.175392,12,37321.806683
2303.03983,99,37360.52009
1555.444217,79,37378.152247
498.594214,30,37384.801062
912.957651,41,37394.152749
269.73059,34,37400.983428
1597.688337,62,37415.464792
2556.269179,101,37446.950771
1737.791781,77,37464.43188
116.398006,11,37466.948158
1054.331025,55,37478.998598
1192.345746,65,37493.427719
360.236376,21,37498.731638
112.930279,10,37501.162921
1700.592328,61,37514.996166
348.154774,20,37521.446203
2597.168782,131,37551.864977
874.271323,42,37561.213334
288.643098,24,37566.545882
3012.103728,117,37593.208709
254.080553,21,37599.360024
196.265169,16,37603.594926
4329.144574,167,37656.522824
912.469689,43,37666.475935
3413.38215,153,37701.171583
924.400781,45,37711.873631
1012.146274,42,37721.155625
34.739595,13,37724.72138
156.535875,17,37728.97168
969.086566,54,37741.255906
3662.335278,150,37778.637095
7405.892935,285,37842.998194
8305.452577,312,37914.429591
441.090891,33,37922.148012
822.553232,44,37932.330195
352.471874,21,37960.213036
2948.447839,111,37985.094862
2610.531233,104,38008.612204
315.839176,27,38014.991552
1722.664487,73,38031.926125
122.767956,11,38034.2419
505.116778,30,38041.625549
144.210125,21,38046.559263
556.562117,28,38053.09044
563.922934,36,38064.225958
1896.078003,90,38084.542686
1217.360919,60,38098.741308
7313.612352,318,38170.722031
918.124785,47,38181.201072
1442.444504,68,38196.485928
1274.897248,59,38217.520095
824.254763,41,38227.419743
819.052477,45,38238.50022
1957.692281,78,38256.782334
226.457102,22,38261.798175
1422.939793,61,38275.567116
498.713766,25,38290.430221
3445.165733,142,38322.798975
136.803643,13,38325.499429
3827.287936,174,38365.828968
5756.961752,228,38417.795234
3083.322628,129,38469.410769
2500.593301,96,38490.509039
1572.389111,66,38505.740399
1956.187417,107,38530.558203
7450.782001,249,38586.737937
435.874582,27,38593.553974
1101.239105,47,38621.024937
385.733998,36,38628.904046
179.633373,18,38632.764562
71.662922,29,38638.800334
2190.037165,91,38659.236549
1761.707433,66,38674.566244
5933.907305,230,38734.365476
1287.658623,62,38748.746495
4501.451178,143,38781.530695
10110.251309,401,38874.892536
165.837377,13,38878.376272
1086.051825,46,38912.458981
858.095432,37,38920.856693
1519.233355,62,38934.791198
2021.987228,75,38951.407426
2000.552815,79,38970.051598
129.659779,10,38972.453969
1046.576145,57,38985.538953
2440.02316,94,39014.95372
5713.541864,228,39066.585284
1748.087074,70,39082.333742
548.066423,22,39087.582664
659.184233,31,39095.098783
2062.557506,72,39112.233673
382.417646,24,39124.636988
3647.57835,129,39153.532565
575.528446,37,39162.216043
661.543752,36,39170.032228
943.572761,38,39178.582353
3973.6407,155,39236.626674
2944.224438,125,39264.415704
9135.355704,328,39337.42606
499.75948,24,39342.975734
744.118621,32,39351.021753
1256.999073,54,39363.689308
150.741401,13,39377.589585
2011.362201,83,39396.222376
307.84219,20,39400.671104
367.528138,30,39407.404583
1148.292594,43,39417.454981
1849.864551,92,39461.170006
1450.436822,60,39474.651227
1264.581475,53,39486.502593
117.324212,11,39488.935741
2030.710602,81,39507.086321
703.100759,43,39517.183472
2304.439615,96,39551.616853
1222.326648,51,39562.998764
1432.708949,93,39584.148499
2124.413182,89,39604.044684
2454.764445,101,39627.192997
440.454929,28,39633.813973
869.641301,39,39643.111203
941.763507,53,39663.66166
321.664463,23,39668.659513
1376.536244,56,39681.310396
4022.558271,170,39719.058431
3653.615673,136,39750.426018
619.541534,25,39779.742108
1379.670179,60,39793.356802
2433.803937,93,39814.854455
5437.490608,217,39864.170918
2839.387653,129,39892.516721
1560.423314,59,39906.318462
8979.908781,335,39990.097228
2802.301841,119,40015.544427
2862.725219,107,40039.146563
1192.793843,45,40049.380833
127.357489,12,40051.880362
1342.543715,55,40064.66156
452.16575,26,40070.613357
118.844792,13,40073.394517
1055.332112,52,40086.644721
122.245516,11,40089.193783
234.440103,19,40093.445538
683.844609,39,40102.075645
131.417787,12,40104.592434
601.322407,34,40112.9774
48.517726,6,40114.793766
487.655761,26,40121.37646
499.279822,27,40127.591094
1838.027253,77,40146.457478
171.11016,17,40149.991582
1662.364296,74,40166.293139
3686.702382,144,40199.406541
3621.852584,152,40233.687487
1877.061687,77,40251.570922
186.898997,23,40256.43884
2276.101181,130,40286.371537
151.87459,10,40288.719044
2316.912854,84,40307.450634
1087.11296,47,40317.950282
1883.465261,70,40333.765624
2050.480237,76,40350.884629
152.940289,16,40354.534757
997.081144,41,40365.651481
910.923,47,40376.514062
1114.319938,52,40388.298526
1356.768048,52,40400.52917
1639.682621,68,40416.282183
1058.094913,46,40450.163319
1675.459316,62,40464.362203
3895.87105,138,40496.329399
2476.872855,99,40518.927903
895.115526,38,40527.261308
81.912399,8,40529.344244
950.254478,38,40559.276385
530.710368,26,40565.093184
1853.921737,89,40585.658206
2574.812272,110,40611.222944
4162.584535,159,40648.018056
1675.879219,66,40663.839633
480.811255,30,40670.635817
4496.599384,179,40713.152441
107.137084,17,40717.303417
1494.620585,60,40732.165891
777.189245,38,40741.602627
3157.788923,109,40767.801759
818.869631,44,40778.334703
1359.883074,53,40790.768945
1295.734708,66,40807.230823
1465.827105,57,40820.466301
762.966528,36,40828.547301
1018.848287,41,40838.297628
1705.164897,73,40856.397529
576.114357,33,40864.182595
1463.762662,58,40879.597462
354.333092,24,40887.544585
73.198153,16,40891.262568
1411.572954,57,40903.894307
5111.273262,184,40945.924246
4035.833206,152,40981.075382
585.225474,37,41012.372521
868.043595,51,41023.874811
297.692146,20,41028.340755
154.655979,16,41032.140298
1611.056428,60,41045.689962
1274.035949,56,41058.42409
1102.986903,43,41068.671158
1089.131208,49,41079.804255
2816.757256,109,41104.569506
1132.486498,49,41115.71793
3597.034662,122,41142.983424
137.059103,10,41145.2361
599.659937,33,41152.88543
1028.170644,49,41163.868325
576.451426,30,41174.982503
618.190733,29,41182.018616
430.022661,24,41187.901122
435.170893,30,41194.717073
943.630709,39,41204.195748
114.110502,11,41206.833207
145.596438,13,41209.73217
1583.347012,73,41244.36602
2106.402826,88,41265.396187
1442.572487,57,41279.013433
402.139332,24,41284.797414
870.314245,52,41296.461945
248.455919,20,41300.712345
1960.638345,72,41317.461824
5003.293388,187,41362.026803
2052.339756,77,41379.559978
216.807909,20,41384.226995
935.146318,42,41393.542026
1890.031298,69,41409.023657
395.509424,20,41413.792719
704.645871,35,41422.326015
655.18957,31,41430.04227
1254.209135,63,41447.273347
478.293264,24,41452.822612
618.888419,31,41459.974401
1791.426501,72,41476.274871
907.760928,41,41485.653884
517.523516,22,41490.571749
543.974938,25,41514.352708
1330.425006,53,41526.384579
6358.832646,257,41583.88445
1797.642541,78,41602.234259
2055.386226,97,41624.737707
104.631084,11,41627.299703
622.221859,47,41638.082935
1087.102977,44,41658.964791
2356.407285,90,41679.395223
86.81679,15,41682.564766
4748.263316,179,41723.096544
