#{"t_start": 1713072229.9904199, "env_id": "None"}
r,l,t
3117.323539,550,24094.490023
9989.832777,140,24124.791511
4842.11733,70,24139.970307
4734.257584,66,24155.404421
1545.929186,46,24173.071022
2687.644144,39,24181.9018
30.864711,25,24187.485761
81.905934,23,24192.971737
8526.136443,114,24217.770719
1463.448815,25,24223.733271
643.457855,43,24233.468769
308.071474,17,24237.634305
2255.532995,43,24250.520473
1594.025797,42,24259.752459
6913.223742,93,24279.601755
3081.020863,40,24287.997041
3184.397436,54,24300.017029
7351.167983,89,24319.464202
11740.562931,150,24353.913148
444.654049,14,24357.131385
676.093868,24,24362.496119
1463.77672,42,24371.745929
4106.613355,80,24389.194153
2304.3249,34,24396.896632
3193.731351,59,24410.079214
7531.431934,162,24447.044349
6592.541141,144,24477.973849
504.343061,14,24481.241685
3749.14909,57,24493.691113
3835.74224,81,24511.15733
2963.416266,48,24521.890978
8471.01845,215,24579.82291
521.336969,27,24585.771661
852.684859,26,24591.472407
1980.624859,31,24598.69213
443.334845,16,24602.53785
1694.026548,25,24608.371606
1154.933037,37,24632.85464
5348.10108,68,24647.185041
3811.70572,54,24658.886397
3038.370018,137,24687.68501
206.019166,17,24691.668632
1587.85805,24,24697.350854
1233.092989,23,24702.300839
3135.255501,40,24711.232838
7211.993832,91,24734.166843
5316.18905,63,24747.678743
3783.993878,61,24760.596333
203.200642,31,24767.465091
9309.853177,94,24787.713294
3824.84713,58,24800.760634
2232.182444,35,24808.427707
5851.91463,73,24825.845659
1064.064315,87,24844.59462
5500.539761,111,24868.478749
1097.068936,37,24876.774811
4381.021436,98,24897.939551
1188.021949,26,24903.958575
2498.444672,53,24915.956975
4511.629423,122,24947.575007
3666.621825,50,24958.690818
3027.558254,102,24980.90627
1816.881637,32,24987.803505
1673.990888,34,24995.405644
1814.148107,36,25003.60288
1462.316553,29,25024.219282
8246.27407,116,25049.371084
1535.949884,33,25056.702657
1968.338687,37,25065.103319
1327.370881,29,25071.633422
505.065708,13,25096.385829
1207.152073,22,25101.185889
4768.08529,113,25126.133018
6302.938037,99,25148.016611
4512.841788,104,25170.896757
541.748059,16,25174.746093
3332.064607,43,25184.561802
1742.867317,36,25192.664777
4511.703115,145,25226.378223
3440.239027,60,25239.396551
807.384474,25,25244.829823
3165.482854,50,25255.896175
9207.554651,121,25282.061568
6917.534611,73,25298.210608
2870.799843,87,25324.209618
1093.541732,27,25330.176799
3751.807989,47,25340.590227
4630.586292,59,25353.424492
4477.908991,59,25366.273997
4668.456863,60,25379.557322
1692.322687,37,25388.072577
5972.848275,124,25415.905427
940.236856,610,25536.267086
3515.180427,560,25656.547194
1819.860121,344,25728.641648
2729.984468,33,25735.89161
666.682075,23,25741.096107
1570.851946,30,25747.724632
1053.308737,27,25753.857653
1645.095871,26,25764.508584
2077.648335,78,25781.070246
3136.224335,43,25790.707734
386.80608,15,25794.207079
2061.39541,32,25801.023415
2591.170703,47,25812.191011
992.830871,51,25836.054411
4346.585554,66,25850.252128
967.301441,24,25855.735783
315.966902,17,25859.633572
1915.11173,33,25866.753501
1590.956598,24,25893.604145
6654.850489,245,25945.867206
385.805305,32,25953.03155
150.150889,34,25960.781713
7893.994658,86,25979.514094
2165.560144,28,25985.96623
3387.149695,55,25998.197198
2976.639743,42,26011.329406
569.55294,22,26016.229683
460.516808,14,26019.432233
800.135671,557,26139.77548
1603.177969,33,26146.809314
5613.197458,70,26162.40976
1357.420985,30,26169.026025
1683.377463,31,26176.108347
1617.329243,91,26196.708087
5111.934945,70,26212.14759
3615.914545,46,26222.47464
10217.888212,200,26266.435581
3247.227334,64,26280.519629
345.612667,13,26291.386678
369.376713,559,26411.815152
1861.220214,35,26419.565307
3127.320602,46,26429.696103
611.068361,544,26549.959179
3054.611618,38,26558.49403
741.662714,28,26578.538476
731.771708,19,26582.626117
773.808097,28,26588.773776
1977.284614,35,26596.589955
7635.173502,111,26620.370771
2767.73244,46,26630.810862
2907.106915,49,26642.172443
586.129144,20,26647.971437
601.350671,560,26768.285463
1582.262262,29,26774.949528
327.697489,20,26779.651812
830.117161,561,26900.078992
5290.310409,78,26939.52874
3900.718828,59,26952.024104
2411.109071,35,26959.744431
393.177437,14,26963.377414
2885.303567,51,26974.690359
3765.398354,45,26985.0233
1732.375901,29,27003.475358
3575.857088,39,27012.458087
430.225036,15,27015.937972
3610.240971,86,27035.038406
3484.991366,57,27047.339753
7005.23021,74,27063.839883
8785.781605,112,27093.522428
1894.568313,43,27103.071041
12200.569727,124,27129.720481
1112.019022,28,27135.854356
6084.290164,64,27150.052488
2731.521675,50,27182.819088
2916.480091,52,27194.168254
-282.561439,556,27314.675605
5453.570394,77,27331.479631
-88.498748,557,27451.889398
2043.436908,42,27461.405232
832.521888,24,27466.741438
401.478972,17,27470.540519
6400.607623,90,27493.785866
1544.723515,27,27499.889064
1978.591725,569,27620.118143
3889.446791,77,27636.881921
1442.656594,44,27646.400922
1278.23009,21,27651.314867
1843.997217,33,27658.799711
1817.957598,29,27665.603179
705.592896,15,27669.300745
781.900868,34,27677.413779
386.162074,21,27682.098052
3206.863683,54,27693.564589
1927.429564,37,27701.530051
357.733451,15,27704.963565
3540.953351,42,27714.21193
2427.338109,43,27723.963674
1921.603272,80,27744.812308
1690.100511,31,27751.527318
583.919228,15,27754.861797
1597.710689,36,27762.825134
661.026552,16,27766.443793
680.648099,15,27769.810704
612.875312,20,27774.393304
1646.655543,41,27783.842519
2862.862638,54,27800.826329
1075.804364,566,27921.121145
1456.272703,24,27926.538662
609.889946,19,27930.9562
1312.754672,23,27936.184496
2605.173815,42,27945.891239
2610.085394,48,27968.652751
1262.791824,30,27975.336849
532.103104,20,27979.602247
1260.962478,22,27984.634301
758.736167,26,27990.185013
5838.786557,89,28009.901815
546.334074,29,28019.06772
2060.708915,49,28029.515982
1869.685879,41,28038.385249
1171.635413,26,28044.116655
1981.836063,33,28051.280106
748.636321,22,28056.366587
2312.267116,34,28064.117316
7565.319563,104,28096.132967
2315.103024,36,28104.380197
3068.305641,49,28115.031587
2167.976758,42,28124.246654
6273.299545,84,28142.296392
2739.996397,51,28153.94491
471.725792,14,28168.476287
620.885987,580,28288.841662
3151.568951,41,28297.571093
250.469909,15,28300.921455
1543.277799,33,28308.306246
2610.511634,50,28339.752949
1881.546587,50,28350.888268
3035.852624,58,28363.271858
5921.885179,106,28385.867203
4124.550167,64,28399.885346
2120.437403,36,28408.032117
5454.617791,55,28434.152441
3811.324228,49,28445.199774
3012.557093,45,28455.199883
3133.734991,49,28466.000336
1179.933261,596,28586.245126
2385.680963,42,28596.244053
494.480229,15,28612.776735
2833.249613,50,28623.925588
1408.669064,24,28629.692601
